Académie Européene d'Informatisation,https://en.wikipedia.org/w/index.php?title=Acad%C3%A9mie_Europ%C3%A9ene_d%27Informatisation&action=edit&redlink=1,24,Belgium,"Wikipedia description: <i>Académie Européene d'Informatisation, aka World Information Distributed University – WID,Belgium, Russia</i>"
Academy of Natural Therapies,https://en.wikipedia.org/w/index.php?title=Academy_of_Natural_Therapies&action=edit&redlink=1,,,"Wikipedia description: <i>Academy of Natural Therapies, formerly in Hawaii until closed by court order; may have reopened in Wyoming, Colorado or Montana</i>"
Academy of Religious & Spiritual Studies,https://en.wikipedia.org/w/index.php?title=Academy_of_Religious_%26_Spiritual_Studies&action=edit&redlink=1,,,Wikipedia description: <i>Academy of Religious & Spiritual Studies</i>
Accademia di Belle Arti di Mendicino,https://en.wikipedia.org/w/index.php?title=Accademia_di_Belle_Arti_di_Mendicino&action=edit&redlink=1,119,Italy,"Wikipedia description: <i>Accademia di Belle Arti di Mendicino, Italy</i>"
Accademia Normanna,https://en.wikipedia.org/wiki/Norman_Academy,119,Italy,"Wikipedia description: <i>Accademia Normanna, Italy, Gambia, Florida (issues degrees through ""Studiorum Universitas Ruggero II"")</i>"
Adam Smith University,https://en.wikipedia.org/wiki/Adam_Smith_University,140,Liberia,"Wikipedia description: <i>Adam Smith University, Liberia; Saipan</i>"
Adams College,https://en.wikipedia.org/wiki/Adams_College,,,Wikipedia description: <i>Adams College</i>
Adams and Washington University,https://en.wikipedia.org/w/index.php?title=Adams_and_Washington_University&action=edit&redlink=1,,,"Wikipedia description: <i>Adams and Washington University, King College of Professional Studies, England</i>"
Addison State University,https://en.wikipedia.org/w/index.php?title=Addison_State_University&action=edit&redlink=1,43,Canada,"Wikipedia description: <i>Addison State University, Ottawa, Canada; ""has no Ontario authorization to issue degrees""</i>"
Adison University,https://en.wikipedia.org/w/index.php?title=Adison_University&action=edit&redlink=1,,,Wikipedia description: <i>Adison University</i>
Advanced Learning Network,https://en.wikipedia.org/w/index.php?title=Advanced_Learning_Network&action=edit&redlink=1,,,"Wikipedia description: <i>Advanced Learning Network, Vermont</i>"
African Distributed UniversityWorld Information Distributed University,https://en.wikipedia.org/w/index.php?title=African_Distributed_University&action=edit&redlink=1,269,World,"Wikipedia description: <i>African Distributed University (AIDP), connected to World Information Distributed University</i>"
Akamai University,https://en.wikipedia.org/w/index.php?title=Akamai_University&action=edit&redlink=1,,,"Wikipedia description: <i>Akamai University, Hawaii  Not accredited by an agency recognized by the US DOE</i>"
Alberdeen University,https://en.wikipedia.org/w/index.php?title=Alberdeen_University&action=edit&redlink=1,159,Mexico,"Wikipedia description: <i>Alberdeen University, New Mexico</i>"
Albert University,https://en.wikipedia.org/w/index.php?title=Albert_University&action=edit&redlink=1,,,"Wikipedia description: <i>Albert University, Delaware</i>"
Alexandria UniversityAlexandria University,https://en.wikipedia.org/w/index.php?title=Alexandria_University_(online)&action=edit&redlink=1,71,Egypt,"Wikipedia description: <i>Alexandria University, Nevada (not to be confused with Alexandria University in Egypt)</i>"
Al-Hurra UniversityAlhuraa University,https://en.wikipedia.org/w/index.php?title=Al-Hurra_University&action=edit&redlink=1,233,Sweden,"Wikipedia description: <i>Al-Hurra University (or Alhuraa University), Sweden, Netherlands; U.S. states of Michigan and Rhode Island</i>"
Al-Ishraq University,https://en.wikipedia.org/w/index.php?title=Al-Ishraq_University&action=edit&redlink=1,213,Saudi Arabia,"Wikipedia description: <i>Al-Ishraq University, Saudi Arabia</i>"
All-American University,https://en.wikipedia.org/w/index.php?title=All-American_University&action=edit&redlink=1,,,"Wikipedia description: <i>All-American University, Nevada</i>"
Allen Maxwell University,https://en.wikipedia.org/w/index.php?title=Allen_Maxwell_University&action=edit&redlink=1,,,"Wikipedia description: <i>Allen Maxwell University, Wyoming</i>"
All Saints American University,https://en.wikipedia.org/wiki/All_Saints_American_University,140,Liberia,"Wikipedia description: <i>All Saints American University, Liberia</i>"
Almeda University,https://en.wikipedia.org/wiki/Almeda_University,,,Wikipedia description: <i>Almeda University (also called Almeda College or Almeda International University)</i>
Al Qasim University,https://en.wikipedia.org/w/index.php?title=Al_Qasim_University&action=edit&redlink=1,187,Pakistan,"Wikipedia description: <i>Al Qasim University, Pakistan</i>"
Al-Shurook University,https://en.wikipedia.org/w/index.php?title=Al-Shurook_University&action=edit&redlink=1,213,Saudi Arabia,"Wikipedia description: <i>Al-Shurook University, Saudi Arabia</i>"
Ambai University,https://en.wikipedia.org/w/index.php?title=Ambai_University&action=edit&redlink=1,,,"Wikipedia description: <i>Ambai University, Massachusetts</i>"
Ambassador University Corporation,https://en.wikipedia.org/w/index.php?title=Ambassador_University_Corporation&action=edit&redlink=1,,,Wikipedia description: <i>Ambassador University Corporation</i>
American Androgogy University,https://en.wikipedia.org/w/index.php?title=American_Androgogy_University&action=edit&redlink=1,29,Bolivia,"Wikipedia description: <i>American Androgogy University, Hawaii, Bolivia</i>"
Americana University,https://en.wikipedia.org/wiki/Americana_University,140,Liberia,"Wikipedia description: <i>Americana University, Liberia</i>"
American Capital University,https://en.wikipedia.org/w/index.php?title=American_Capital_University&action=edit&redlink=1,140,Liberia,"Wikipedia description: <i>American Capital University, Liberia</i>"
American Central University,https://en.wikipedia.org/wiki/American_Central_University,,,"Wikipedia description: <i>American Central University, Wyoming</i>"
American Century University,https://en.wikipedia.org/w/index.php?title=American_Century_University&action=edit&redlink=1,159,Mexico,"Wikipedia description: <i>American Century University, New Mexico; formerly known as Century University</i>"
American City University,https://en.wikipedia.org/wiki/American_City_University,,,Wikipedia description: <i>American City University</i>
American Coastline University,https://en.wikipedia.org/w/index.php?title=American_Coastline_University&action=edit&redlink=1,203,Russia,"Wikipedia description: <i>American Coastline University, formerly operated from mailbox rental services in Hawaii and Louisiana and was owned by Dr. Richard Hoyer; also reported in Russia and the U.S. states of California and New York</i>"
American College of Brazilian Studies,https://en.wikipedia.org/w/index.php?title=American_College_of_Brazilian_Studies&action=edit&redlink=1,33,Brazil,Wikipedia description: <i>American College of Brazilian Studies (AMBRA) Florida</i>
American College of Metaphysical Theology,https://en.wikipedia.org/w/index.php?title=American_College_of_Metaphysical_Theology&action=edit&redlink=1,,,"Wikipedia description: <i>American College of Metaphysical Theology, Golden Valley, Minnesota</i>"
American Columbus University,https://en.wikipedia.org/w/index.php?title=American_Columbus_University&action=edit&redlink=1,,,"Wikipedia description: <i>American Columbus University, California</i>"
American Global International University,https://en.wikipedia.org/w/index.php?title=American_Global_International_University&action=edit&redlink=1,,,"Wikipedia description: <i>American Global International University, Florida</i>"
American Global University,https://en.wikipedia.org/w/index.php?title=American_Global_University&action=edit&redlink=1,,,"Wikipedia description: <i>American Global University, Wyoming</i>"
American Global University School of Medicine,https://en.wikipedia.org/w/index.php?title=American_Global_University_School_of_Medicine&action=edit&redlink=1,,,"Wikipedia description: <i>American Global University School of Medicine, Ohio</i>"
American Independent International University,https://en.wikipedia.org/w/index.php?title=American_Independent_International_University&action=edit&redlink=1,,,Wikipedia description: <i>American Independent International University</i>
American International UniversityAmerican InterContinental University,https://en.wikipedia.org/wiki/American_International_University_(disambiguation),138,Lebanon,"Wikipedia description: <i>American International University; one or more entities by this name are based in Oregon, California, and Lebanon (not to be confused with American InterContinental University)</i>"
