Abacus Academy|Ether space
Abba Institute|Texas (and you thought they were Swedish)
Academie Europeene d’Informatisation|(AKA World Information Distributed U)
Academy College of Holy Studies|Ether space
Academy for Contemporary Research|Ether space
Academy of Healing Arts|Ether space
Academy for Health Sciences & Nutrition|Ether space
Academy of Religious & Spiritual Studies|Ether space
Academy of the Science of Man|Ether Space
Accelerated Degree Programs|Ether space
Accredited-non-fake-online-degree-mil.com|(AKA: Belford University)
Adam Smith University|Hawaii, Liberia, Saipan
Adams and Washington University|England, South Carolina
Adams Institute of Technology|Ether space
Addison State University|Canada
Adjunct College|Canyon Texas (branch of Warnborough U)
Advanced Education Trust|Ether space
Advanced Learning Network|Vermont
AffordableDegrees.com|(AKA: Belford/Rochville)
African Distributed University|Nigeria (AKA: World Info Distributed U)
Akamai University|Hawaii
Albany Educational Services|Ether Space
Al-Hurra University|Sweden, Netherlands, Michigan, Rhode Is
Al-Ishraq University|Saudi Arabia
Al-Qasim University|Pakistan
Al-Shinook University|Saudi Arabia
Al-Shurook University|Saudi Arabia
Alabama Christian College|Alabama
Alberdeen University|New Mexico
Albert University|Delaware
Alexandria University|Nevada
All-American University|Nevada
All Saints America University|Liberia
Allen Maxwell University|Wyoming
Almeda College & University|Florida, Idaho (AKA College)
Alston University|California
Ambai University|Massachusetts
Ambassador University Corporation|Ether space
American Austin University|Ether space
American Capital University|Liberia, Wyoming
American Central University |Wyoming (With fake DETC accreditation)
American City University|Wyoming
American Coastline University|Hawaii, New York, California; Russia, et al
American College of Health Science|Texas
American College of Metaphysical Theol|Minnesota
American Columbus University|California
American Extension School of Law|Illinois
American Global University|Wyoming, Iowa, California
American Global U – School of Med|Ohio
American Independent International U|Ether space
American Institute of Management Studies|Hawaii, Indonesia
American Institute of Science|Indiana
American International Academy|New York, Washington
American International University|Belize, Dominica, New York, England
American International University|New York, Washington (AKA Academy)
American International University|California
American Legion University|Ether space
American Liberty University|Alabama, California, England, Greece, et al
American Management Institute|Ether space
American Medical College|Idaho
American National University|Hawaii, California, Arizona
American Open University|Ether space
American Pac-West International U|Hawaii, China, Hong Kong-AKA Pacific Western
American Pacific University|Hawaii
American School of Metaphysics|Ether Space
American State University |Hawaii, Wyoming (AKA Hamilton U)
American State University|Wyoming, Caribbean (AKA Richardson U)
American States College|Hawaii (AKA University)
American University|California, Mississippi, Hawaii, Lebanon
American University of/for Humanities|Mississippi, Colorado, Lebanon
American University of Hawaii|Hawaii, Mississippi, India, Russia, Lebanon
American University of London|Texas, Nevis, England, Sri Lanka
American University of London|Saudi Arabia (not associated with above)
American U of Mayonic Sci & Tech|Colorado
American West University|Ether space
American Western University|Arizona
American World University|Mississippi, California, Iowa
Americana University|Liberia
Americus University|Washington DC
Ameritech University|Liberia
Ames Christian University|Florida
Amity University|India
Amorsolo Foundation|California (AKA California University)
Amstead University|New Mexico
Anacrusis Institute|England, Greece
Anaheim University|California (AKA Newport Asia Pacific U)
Anderson University|California
Andersonville Theological Seminary|Georgia
Anglo-American College of Medicine|Ether space
Anglo-American Institute of Drugless Med|Ether space
Apache University|Ether space
Apostolic/Prophetic Bible College & Sem|Michigan
Aquinas University of Scholastic Philos|New York
Argus University|Colorado
Aristotle University|California
Arizona Midland University|Ether space
Armstrong University|California (older awards may be good)
Ashbourne University|England
Ashford University|England (Real one is in Clinton, Iowa)
Ashington University|Virgin Islands, Louisiana
Ashwood University|Texas (AKA Universidad de las Palmas)
Athenaeum University|Panama, England
Athens Clark University|Ether space
Atlanta Southern University|Atlanta
Atlantic International University|Hawaii, Florida
Atlantic National University|California
Atlantic Northeastern College|Ether space (AKA University)
Atlantic Southern University|Georgia, Washington
Atlantic University|New York; legitimate one is in Virginia
Atworth College|Ether space (AKA University)
Auberdeen University|Idaho
Avatar Episcopal University|Ether space
Avatar International University|Ether space
Azaliah|New Mexico, South Africa, (accredited <02)
BackAlleyPress.com|China (Counterfeiter: cash for credential)
Baltimore State University|Ether space
Bangladesh University|Ether space
Bangalore Inst of Science, Tech, & Mgmt|India
Barber-Scotia College|North Carolina (last accredited 2004)
Barrington University|Alabama, New York
Barron University|Ether space
Bavarian College of Science|Germany
Beacon Learning Center|Michigan
Bedford University|Ether Space
Belford University|Texas, Pakistan, United Arab Emirates
Beloved Community Seminary|Oregon, Hawaii
Ben Franklin Academy & Inst Advanced |Washington DC
Benjamin Franklin Institute of Global Ed| (AKA Acad & Inst For Advanced Study)
Benchley State University|Ether space
Bennington University|Vermont, Sound alike for legitimate school
Benson University|Ether space
Berean Community College|Ether space
